,type,Bathrooms,rooms_available,Electricity,Internet,cluster
296,2,0.0,0.0,0,0,2
297,2,0.0,0.07692307692307693,0,0,2
298,2,0.0,0.0,0,0,2
301,2,0.0,0.0,0,0,2
302,3,0.125,0.38461538461538464,0,0,0
303,2,0.125,0.38461538461538464,0,0,2
304,3,0.125,0.38461538461538464,0,0,0
305,2,0.0,0.07692307692307693,0,0,2
306,2,0.0,0.0,0,0,2
307,2,0.0,0.0,0,0,2
308,2,0.0,0.07692307692307693,0,0,2
309,3,0.0,0.15384615384615385,0,0,0
310,2,0.0,0.0,0,0,2
311,3,0.0,0.15384615384615385,0,0,0
312,2,0.0,0.0,0,0,2
313,3,0.0,0.15384615384615385,0,0,0
314,2,0.0,0.0,0,0,2
315,2,0.0,0.07692307692307693,0,0,2
316,3,0.0,0.07692307692307693,0,0,0
318,2,0.0,0.0,0,0,2
319,3,0.125,0.3076923076923077,0,0,0
320,2,0.0,0.0,0,0,2
321,3,0.0,0.23076923076923078,0,0,0
322,3,0.125,0.23076923076923078,0,0,0
323,2,0.0,0.23076923076923078,0,0,2
325,3,0.125,0.0,0,0,0
326,2,0.0,0.0,0,0,2
327,3,0.0,0.07692307692307693,0,0,0
328,2,0.0,0.07692307692307693,0,0,2
329,2,0.0,0.0,0,0,2
330,2,0.0,0.0,0,0,2
331,2,0.0,0.07692307692307693,0,0,2
332,2,0.125,0.07692307692307693,0,0,2
333,1,0.0,0.0,0,0,2
334,3,0.25,0.4615384615384616,0,0,0
335,2,0.0,0.0,0,0,2
336,2,0.0,0.0,0,0,2
337,2,0.0,0.0,0,0,2
338,3,0.0,0.0,0,0,0
339,3,0.0,0.0,0,0,0
341,3,0.125,0.5384615384615385,0,0,0
343,2,0.125,0.07692307692307693,0,0,2
344,2,0.0,0.0,0,0,2
345,2,0.0,0.0,0,0,2
346,2,0.0,0.0,0,0,2
347,2,0.0,0.0,0,0,2
348,2,0.0,0.0,0,0,2
349,2,0.0,0.07692307692307693,0,0,2
351,3,0.0,0.0,0,0,0
352,3,0.25,0.15384615384615385,0,0,0
353,2,0.0,0.0,0,0,2
354,2,0.0,0.0,0,0,2
355,3,0.0,0.07692307692307693,0,0,0
356,2,0.0,0.0,0,0,2
357,3,0.0,0.07692307692307693,0,0,0
358,3,0.0,0.23076923076923078,0,0,0
359,3,0.25,0.4615384615384616,1,1,1
360,2,0.125,0.4615384615384616,0,0,2
361,3,0.125,0.23076923076923078,1,1,1
362,3,0.125,0.3076923076923077,0,0,0
363,1,0.0,0.0,0,0,2
364,3,0.0,0.07692307692307693,0,0,0
365,2,0.125,0.07692307692307693,0,0,2
366,3,0.125,0.38461538461538464,0,0,0
367,3,0.125,0.38461538461538464,0,0,0
368,3,0.125,0.38461538461538464,0,0,0
369,2,0.0,0.07692307692307693,0,0,2
371,3,0.0,0.15384615384615385,0,0,0
372,2,0.0,0.23076923076923078,0,0,2
373,3,0.0,0.15384615384615385,0,0,0
374,3,0.0,0.0,0,0,0
375,3,0.0,0.0,0,0,0
376,3,0.0,0.15384615384615385,0,0,0
377,3,0.125,0.3076923076923077,0,0,0
378,3,0.0,0.3076923076923077,0,0,0
379,3,0.0,0.15384615384615385,0,0,0
380,3,0.125,0.3076923076923077,0,0,0
381,3,0.125,0.38461538461538464,0,0,0
383,3,0.125,0.3076923076923077,0,0,0
385,3,0.125,0.4615384615384616,0,0,0
387,3,0.125,0.5384615384615385,0,0,0
390,3,0.0,0.6923076923076923,0,0,0
391,1,0.0,0.0,0,0,2
392,3,0.25,0.4615384615384616,0,0,0
393,3,0.0,0.15384615384615385,0,0,0
395,3,0.125,0.3076923076923077,0,0,0
396,3,0.125,0.23076923076923078,0,0,0
397,3,0.125,0.3076923076923077,0,0,0
398,3,0.125,0.15384615384615385,0,0,0
399,3,0.125,0.23076923076923078,0,0,0
400,3,0.125,0.4615384615384616,0,0,0
401,3,0.0,0.07692307692307693,0,0,0
402,3,0.125,0.23076923076923078,0,0,0
403,3,0.0,0.23076923076923078,0,0,0
404,3,0.125,0.15384615384615385,0,0,0
405,3,0.25,0.4615384615384616,0,0,0
406,1,0.0,0.0,0,0,2
407,3,0.125,0.38461538461538464,0,0,0
409,3,0.0,0.23076923076923078,0,0,0
410,2,0.0,0.0,0,0,2
411,2,0.0,0.0,0,0,2
412,3,0.0,0.15384615384615385,0,0,0
413,1,0.0,0.0,0,0,2
415,1,0.0,0.0,0,0,2
416,1,0.0,0.0,0,0,2
417,1,0.0,0.0,0,0,2
418,1,0.0,0.0,0,0,2
